,index,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,AgeHome,YrsSinceRemodel,Num_Bathrms_AbvGrd,Num_Bathrms_Bsmt,log_SalePrice,hasBsmt,hasGarage
364,367,368,80,RL,101.0,9150,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,Gable,Tar&Grv,Plywood,Plywood,BrkFace,305.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,371,Unf,0,728,1099,GasA,Gd,Y,SBrkr,1431,0,0,1431,3,1,TA,6,Typ,1,Gd,Basment,RFn,1,296,TA,TA,Y,64,110,0,0,0,0,NoPool,NoFence,None,0,12,2008,WD,Normal,165000,46,46,1,1,12.013700752882718,Basement,Garage
365,368,369,20,RL,78.0,7800,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,TA,TA,PConc,TA,TA,No,LwQ,540,Unf,0,728,1268,GasA,Gd,Y,SBrkr,1268,0,0,1268,2,1,TA,7,Typ,1,Gd,Attchd,Fin,1,244,TA,TA,Y,0,98,0,0,0,0,NoPool,NoFence,None,0,3,2010,WD,Normal,132000,56,56,1,0,11.790557201568507,Basement,Garage
366,369,370,20,RL,73.0,9830,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,72,Rec,258,733,1063,GasA,Ex,Y,SBrkr,1287,0,0,1287,3,1,Gd,7,Typ,1,Gd,Detchd,Fin,2,576,TA,TA,Y,364,17,0,0,182,0,NoPool,NoFence,None,0,3,2010,WD,Normal,162000,51,4,1,1,11.99535161421452,Basement,Garage
367,370,371,60,RL,65.0,8121,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,953,953,GasA,Ex,Y,SBrkr,953,711,0,1664,3,1,TA,7,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,100,40,0,0,0,0,NoPool,NoFence,None,0,1,2006,WD,Normal,172400,6,6,3,0,12.05757263721173,Basement,Garage
368,371,372,50,RL,80.0,17120,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,CBlock,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,0,GasA,TA,Y,SBrkr,1120,468,0,1588,4,1,TA,7,Min2,1,Gd,Detchd,Fin,2,680,TA,TA,N,0,59,0,0,0,0,NoPool,NoFence,None,0,7,2008,WD,Normal,134432,49,49,2,0,11.808813773969108,NoBsmt,Garage
369,372,373,120,RL,50.0,7175,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,623,LwQ,121,0,744,GasA,TA,Y,SBrkr,752,0,0,752,2,1,TA,4,Typ,0,NoFirePlace,Attchd,Unf,1,264,TA,TA,Y,353,0,0,0,90,0,NoPool,MnPrv,None,0,2,2010,WD,Normal,125000,26,26,1,1,11.736069016284437,Basement,Garage
370,373,374,20,RL,79.0,10634,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,180,0,608,GasA,TA,Y,SBrkr,1319,0,0,1319,3,1,TA,5,Min2,0,NoFirePlace,Attchd,Unf,1,270,TA,TA,Y,66,0,0,0,0,0,NoPool,GdWo,None,0,11,2009,WD,Normal,123000,56,56,1,1,11.719939634354555,Basement,Garage
371,374,375,60,RL,65.0,8200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,1081,0,1928,4,1,Gd,8,Typ,1,Gd,BuiltIn,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,NoPool,NoFence,None,0,7,2007,WD,Normal,219500,4,3,3,0,12.299107511497363,Basement,Garage
372,375,376,30,RL,65.5,10020,Pave,NoAlley,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,0,333,683,GasA,Gd,N,FuseA,904,0,0,904,1,1,Fa,4,Maj1,0,NoFirePlace,None,None,0,0,None,None,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,3,2009,WD,Normal,61000,87,59,1,1,11.018629143155449,Basement,NoGarage
373,376,377,85,RL,57.0,8846,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,0,572,870,GasA,Ex,Y,SBrkr,914,0,0,914,2,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,7,2006,WD,Normal,148000,10,10,1,0,11.904967552746252,Basement,Garage
374,377,378,60,FV,102.0,11143,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1580,1580,GasA,Ex,Y,SBrkr,1580,886,0,2466,4,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,610,TA,TA,Y,159,214,0,0,0,0,NoPool,NoFence,None,0,12,2007,WD,Normal,340000,3,2,3,0,12.736700896592344,Basement,Garage
375,378,379,20,RL,88.0,11394,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,Y,SBrkr,1856,0,0,1856,1,1,Ex,8,Typ,1,Ex,Attchd,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,New,Partial,394432,0,0,2,1,12.885202034321916,Basement,Garage
376,379,380,60,RL,60.0,8123,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,982,982,GasA,Ex,Y,SBrkr,1007,793,0,1800,3,1,TA,7,Typ,1,TA,Attchd,Fin,2,463,TA,TA,Y,100,63,0,0,0,0,NoPool,NoFence,None,0,6,2009,WD,Normal,179000,9,9,3,0,12.095141084822892,Basement,Garage
377,380,381,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,218,Unf,0,808,1026,GasA,TA,Y,SBrkr,1026,665,0,1691,3,1,Gd,6,Typ,1,Gd,Detchd,Unf,1,308,TA,TA,Y,0,0,242,0,0,0,NoPool,NoFence,None,0,5,2010,WD,Normal,127000,86,60,2,0,11.751942365440728,Basement,Garage
378,381,382,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,0,Unf,0,1293,1293,GasA,Ex,Y,SBrkr,1301,0,0,1301,2,1,Gd,5,Typ,1,Gd,Attchd,RFn,2,572,TA,TA,Y,216,121,0,0,0,0,NoPool,NoFence,None,0,8,2006,New,Partial,187750,0,0,2,1,12.142866569626381,Basement,Garage
379,382,383,60,RL,79.0,9245,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,939,939,GasA,Ex,Y,SBrkr,939,858,0,1797,3,1,Gd,8,Typ,0,NoFirePlace,Attchd,RFn,2,639,TA,TA,Y,144,53,0,0,0,0,NoPool,NoFence,None,0,4,2007,WD,Normal,213500,1,1,3,0,12.271392111650817,Basement,Garage
380,383,384,45,RH,60.0,9000,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,0,784,784,GasA,TA,N,FuseA,784,0,0,784,2,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,2,360,Fa,Fa,N,0,0,91,0,0,0,NoPool,NoFence,None,0,10,2009,WD,Normal,76000,81,59,1,0,11.238488619268468,Basement,Garage
381,384,385,60,RL,80.0,53107,Pave,NoAlley,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,985,Unf,0,595,1580,GasA,Ex,Y,SBrkr,1079,874,0,1953,3,1,Gd,9,Typ,2,Fa,Attchd,Fin,2,501,TA,TA,Y,216,231,0,0,0,0,NoPool,NoFence,None,0,6,2007,WD,Normal,240000,15,15,3,1,12.388394202324129,Basement,Garage
382,385,386,120,RL,43.0,3182,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,0,1232,1256,GasA,Ex,Y,SBrkr,1269,0,0,1269,2,1,Gd,6,Typ,1,TA,Attchd,Fin,2,430,TA,TA,Y,146,20,0,0,144,0,NoPool,NoFence,None,0,4,2010,WD,Normal,192000,6,5,2,0,12.165250651009918,Basement,Garage
383,386,387,50,RL,58.0,8410,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,Gambrel,CompShg,Wd Sdng,VinylSd,None,0.0,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,0,658,658,GasA,TA,Y,SBrkr,658,526,0,1184,5,1,TA,8,Typ,0,NoFirePlace,None,None,0,0,None,None,N,0,151,0,0,0,0,NoPool,NoFence,None,0,5,2006,WD,AdjLand,81000,96,10,1,0,11.302204433654575,Basement,NoGarage
384,387,388,80,RL,72.0,7200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,TA,Av,ALQ,631,Unf,0,410,1041,GasA,Ex,Y,SBrkr,1125,0,0,1125,3,1,TA,6,Typ,1,Fa,Detchd,Unf,1,352,TA,TA,Y,296,0,0,0,0,0,NoPool,GdWo,None,0,10,2009,WD,Abnorml,125000,33,33,1,1,11.736069016284437,Basement,Garage
385,388,389,20,RL,93.0,9382,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,GasA,Ex,Y,SBrkr,1479,0,0,1479,3,1,Gd,6,Typ,0,NoFirePlace,Attchd,RFn,2,577,TA,TA,Y,120,25,0,0,0,0,NoPool,NoFence,None,0,7,2008,WD,Normal,191000,9,8,2,0,12.160028707028767,Basement,Garage
386,389,390,60,RL,96.0,12474,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,Gable,CompShg,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1280,Unf,0,402,1682,GasA,Ex,Y,SBrkr,1742,590,0,2332,3,1,Ex,9,Typ,1,Ex,BuiltIn,Fin,3,846,TA,TA,Y,196,134,0,0,0,0,NoPool,NoFence,None,0,8,2008,New,Partial,426000,1,0,3,1,12.962194625251508,Basement,Garage
387,390,391,50,RL,50.0,8405,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Gd,No,Rec,241,BLQ,391,229,861,GasA,Ex,Y,SBrkr,961,406,0,1367,4,1,TA,7,Typ,0,NoFirePlace,Detchd,Unf,1,384,TA,TA,Y,0,130,112,0,0,0,NoPool,MnPrv,None,0,4,2008,WD,Normal,119000,108,58,1,1,11.686878772093667,Basement,Garage
388,391,392,60,RL,71.0,12209,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690,Unf,0,114,804,GasA,Ex,Y,SBrkr,804,1157,0,1961,3,1,Gd,7,Typ,1,TA,BuiltIn,Fin,2,560,TA,TA,Y,125,192,0,0,0,0,NoPool,NoFence,None,0,6,2009,WD,Normal,215000,8,7,3,1,12.2783933071098,Basement,Garage
389,392,393,20,RL,73.0,8339,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,0,GasA,TA,Y,SBrkr,882,0,0,882,3,1,TA,5,Typ,0,NoFirePlace,Attchd,RFn,1,294,TA,TA,Y,0,0,0,0,0,0,NoPool,MnPrv,Shed,1200,7,2007,WD,Normal,106500,48,48,1,0,11.575900264131617,NoBsmt,Garage
390,393,394,30,RL,52.0,7446,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,5,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,266,Unf,0,522,788,GasA,TA,Y,FuseA,788,0,0,788,2,1,TA,4,Typ,2,TA,None,None,0,0,None,None,Y,0,0,0,0,0,0,NoPool,GdWo,None,0,4,2006,WD,Abnorml,100000,65,56,1,0,11.512925464970229,Basement,NoGarage
391,394,395,50,RL,60.0,10134,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,735,735,GasA,Gd,Y,FuseA,735,299,0,1034,2,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,1,240,TA,TA,Y,0,39,0,0,0,0,NoPool,NoFence,None,0,7,2007,WD,Normal,109000,67,57,1,0,11.59910316121128,Basement,Garage
392,395,396,20,RL,68.0,9571,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,739,Unf,0,405,1144,GasA,TA,Y,SBrkr,1144,0,0,1144,3,1,TA,6,Typ,0,NoFirePlace,Attchd,Unf,1,596,TA,TA,Y,44,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,WD,Normal,129000,54,54,1,1,11.76756768334381,Basement,Garage
393,396,397,20,RL,60.0,7200,Pave,NoAlley,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,Rec,777,Unf,0,117,894,GasA,TA,Y,SBrkr,894,0,0,894,2,1,TA,6,Typ,0,NoFirePlace,Detchd,RFn,2,600,TA,TA,Y,215,0,0,0,0,0,NoPool,NoFence,None,0,9,2009,WD,Normal,123000,37,37,1,0,11.719939634354555,Basement,Garage
394,397,398,60,RL,69.0,7590,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,TA,No,ALQ,540,Unf,0,324,864,GasA,TA,Y,SBrkr,876,936,0,1812,4,1,TA,8,Typ,1,TA,Attchd,RFn,1,264,TA,TA,Y,0,168,0,0,0,0,NoPool,NoFence,None,0,7,2007,WD,Normal,169500,45,45,2,0,12.040608205802641,Basement,Garage
395,398,399,30,RM,60.0,8967,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,2,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,0,961,961,GasA,Gd,Y,Mix,1077,0,0,1077,2,1,TA,6,Maj2,0,NoFirePlace,Detchd,Unf,1,338,Po,Po,N,0,0,0,0,0,0,NoPool,NoFence,None,0,11,2007,WD,Abnorml,67000,87,57,1,0,11.112447898373103,Basement,Garage
396,399,400,60,FV,65.0,8125,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812,Unf,0,280,1092,GasA,Ex,Y,SBrkr,1112,438,0,1550,2,1,Gd,7,Typ,0,NoFirePlace,Attchd,Fin,2,438,TA,TA,Y,0,168,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD,Normal,241000,3,2,2,1,12.392552212472792,Basement,Garage
397,400,401,120,RL,38.0,14963,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786,Unf,0,474,1260,GasA,Ex,Y,SBrkr,1288,0,0,1288,1,1,Ex,4,Typ,2,Gd,Attchd,Fin,2,500,TA,TA,Y,120,30,0,0,224,0,NoPool,NoFence,None,0,12,2008,WD,Normal,245500,12,12,2,1,12.411052226216713,Basement,Garage
398,401,402,20,RL,65.0,8767,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1286,1310,GasA,Ex,Y,SBrkr,1310,0,0,1310,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,400,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,7,2006,New,Partial,164990,1,1,2,0,12.01364014498549,Basement,Garage
399,402,403,30,RL,60.0,10200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,672,672,GasA,Ex,Y,SBrkr,672,0,0,672,2,1,TA,4,Typ,0,NoFirePlace,Detchd,Unf,1,240,TA,TA,N,168,0,0,0,0,0,NoPool,GdPrv,None,0,8,2008,WD,Normal,108000,68,11,1,0,11.589886506106357,Basement,Garage
400,403,404,60,RL,93.0,12090,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1141,1141,GasA,Gd,Y,SBrkr,1165,1098,0,2263,4,1,Gd,10,Typ,1,TA,BuiltIn,Fin,2,420,TA,TA,Y,144,123,0,0,0,0,NoPool,NoFence,None,0,7,2006,WD,Abnorml,258000,8,8,3,0,12.460714863903755,Basement,Garage
401,404,405,60,RL,65.0,10364,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,806,806,GasA,Gd,Y,SBrkr,806,766,0,1572,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2,373,TA,TA,Y,0,40,0,0,0,0,NoPool,NoFence,None,0,5,2007,WD,Normal,168000,12,11,3,0,12.031719258385396,Basement,Garage
402,405,406,20,RL,71.0,9991,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1116,Unf,0,165,1281,GasA,Ex,Y,SBrkr,1620,0,0,1620,3,1,TA,8,Min1,1,TA,Attchd,Unf,2,490,TA,TA,Y,120,78,0,0,0,0,NoPool,GdWo,None,0,6,2009,WD,Normal,150000,33,16,2,1,11.918390573078392,Basement,Garage
403,406,407,50,RL,51.0,10480,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1064,1064,GasA,Ex,Y,FuseA,1166,0,473,1639,3,1,TA,6,Maj2,0,NoFirePlace,Detchd,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,3,2008,WD,Normal,115000,72,58,1,0,11.652687407345388,Basement,Garage
404,407,408,70,RL,63.0,15576,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,0,1680,4,1,TA,8,Typ,0,NoFirePlace,Attchd,Unf,1,308,TA,TA,Y,0,0,160,0,0,0,NoPool,NoFence,None,0,3,2008,WD,Normal,177000,93,32,2,0,12.083905011555967,Basement,Garage
405,408,409,60,RL,109.0,14154,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,Unf,0,Unf,0,1063,1063,GasA,Ex,Y,SBrkr,1071,1101,0,2172,3,1,Gd,9,Typ,1,Gd,Attchd,RFn,3,947,TA,TA,Y,192,62,0,0,0,0,NoPool,NoFence,None,0,8,2007,New,Partial,280000,1,1,3,0,12.542544882151386,Basement,Garage
406,409,410,60,FV,85.0,10800,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,TA,No,GLQ,789,Unf,0,245,1034,GasA,Ex,Y,SBrkr,1050,1028,0,2078,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,836,TA,TA,Y,0,102,0,0,0,0,NoPool,NoFence,None,0,4,2008,New,Partial,339750,1,0,3,1,12.73596533201339,Basement,Garage
407,410,411,20,RL,68.0,9571,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1276,1276,GasA,TA,Y,FuseA,1276,0,0,1276,3,1,TA,5,Mod,0,NoFirePlace,Attchd,Unf,1,350,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2009,COD,Abnorml,60000,51,51,1,0,11.002099841204238,Basement,Garage
408,411,412,190,RL,100.0,34650,Pave,NoAlley,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056,Unf,0,0,1056,GasA,TA,N,SBrkr,1056,0,0,1056,3,1,TA,5,Typ,0,NoFirePlace,Attchd,Fin,2,572,TA,TA,Y,264,0,0,0,0,0,NoPool,NoFence,None,0,1,2006,WD,Normal,145000,51,51,1,1,11.884489021402711,Basement,Garage
409,412,413,20,FV,73.5,4403,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,TA,Av,GLQ,578,Unf,0,892,1470,GasA,Ex,Y,SBrkr,1478,0,0,1478,2,1,Gd,7,Typ,1,Gd,Attchd,Fin,2,484,TA,TA,Y,0,144,0,0,0,0,NoPool,NoFence,None,0,6,2010,New,Partial,222000,1,1,3,1,12.310432660854417,Basement,Garage
410,413,414,30,RM,56.0,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1008,1008,GasA,Gd,Y,FuseA,1028,0,0,1028,2,1,TA,5,Typ,1,Gd,Detchd,Unf,2,360,TA,TA,Y,0,0,130,0,0,0,NoPool,NoFence,None,0,3,2010,WD,Normal,115000,83,60,1,0,11.652687407345388,Basement,Garage
411,414,415,60,RL,59.0,11228,Pave,NoAlley,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,BLQ,50,GLQ,531,499,1080,GasA,Ex,Y,SBrkr,1080,1017,0,2097,3,1,Gd,9,Typ,1,TA,Attchd,Unf,3,678,TA,TA,Y,196,187,0,0,0,0,NoPool,NoFence,None,0,12,2008,WD,Normal,228000,15,15,3,1,12.337100907936577,Basement,Garage
